step	MAE
1	0.0
3	5.2734375
4	0.0
5	0.0
8	0.87890625
9	1.7578125
10	0.0
11	0.0
12	1.7578125
13	0.0
14	0.0
15	0.0
16	0.0
17	3.515625
18	0.0
20	0.0
22	0.0
23	7.91015625
24	5.2734375
25	0.0
26	4.39453125
27	0.0
30	0.0
31	0.0
32	0.87890625
33	0.0
34	0.0
35	0.0
36	0.0
37	0.0
38	0.439453125
39	0.0
40	0.0
41	0.0
42	0.0
43	2.63671875
44	0.87890625
45	0.0
46	0.0
47	8.7890625
48	0.0
49	0.0
